State,EV,D,R,I,Date,D>9,D5-9,D<5,Tie,R<5,R5-9,R>9,Pollster-len
Alabama,9,39,60,,Nov 05,,,,,,,9,94% counted
Alaska,3,40,58,,Nov 05,,,,,,,3,45% counted
Arizona,10,45,54,,Nov 05,,,,,,10,,92% counted
Arkansas,6,39,59,,Nov 05,,,,,,,6,90% counted
California,55,59,39,,Nov 05,55,,,,,,,39% counted
Colorado,9,53,45,,Nov 05,,9,,,,,,72% counted
Connecticut,7,60,39,,Nov 05,7,,,,,,,92% counted
D.C.,3,93,7,,Nov 05,3,,,,,,,100% counted
Delaware,3,62,37,,Nov 05,3,,,,,,,100% counted
Florida,27,51,49,,Nov 05,,,27,,,,,99% counted
Georgia,15,46,53,,Nov 05,,,,,,15,,98% counted
Hawaii,4,74,25,,Nov 05,4,,,,,,,43% counted
Idaho,4,36,62,,Nov 05,,,,,,,4,63% counted
Illinois,21,61,38,,Nov 05,21,,,,,,,95% counted
Indiana,11,50,49,,Nov 05,,,11,,,,,99% counted
Iowa,7,54,45,,Nov 05,,7,,,,,,99% counted
Kansas,6,42,57,,Nov 05,,,,,,,6,98% counted
Kentucky,8,41,58,,Nov 05,,,,,,,8,100% counted
Louisiana,9,40,59,,Nov 05,,,,,,,9,100% counted
Maine,4,58,40,,Nov 05,4,,,,,,,77% counted
Maryland,10,60,39,,Nov 05,10,,,,,,,94% counted
Massachusetts,12,62,36,,Nov 05,12,,,,,,,95% counted
Michigan,17,57,42,,Nov 05,17,,,,,,,90% counted
Minnesota,10,54,44,,Nov 05,10,,,,,,,93% counted
Mississippi,6,43,57,,Nov 05,,,,,,,6,99% counted
Missouri,11,49,49,,Nov 05,,,,11,,,,99% counted
Montana,3,47,50,,Nov 05,,,,,3,,,78% counted
Nebraska,5,41,57,,Nov 05,,,,,,,5,99% counted
Nevada,5,56,42,,Nov 05,5,,,,,,,72% counted
New Hampshire,4,55,44,,Nov 05,4,,,,,,,83% counted
New Jersey,15,57,42,,Nov 05,15,,,,,,,99% counted
New Mexico,5,57,42,,Nov 05,5,,,,,,,97% counted
New York,31,62,37,,Nov 05,31,,,,,,,99% counted
North Carolina,15,50,49,,Nov 05,,,15,,,,,100% counted
North Dakota,3,45,53,,Nov 05,,,,,,3,,97% counted
Ohio,20,51,48,,Nov 05,,,20,,,,,86% counted
Oklahoma,7,34,66,,Nov 05,,,,,,,7,99% counted
Oregon,7,56,42,,Nov 05,7,,,,,,,45% counted
Pennsylvania,21,55,44,,Nov 05,21,,,,,,,99% counted
Rhode Island,4,63,35,,Nov 05,4,,,,,,,98% counted
South Carolina,8,45,54,,Nov 05,,,,,,8,,94% counted
South Dakota,3,44,54,,Nov 05,,,,,,,3,98% counted
Tennessee,11,42,57,,Nov 05,,,,,,,11,98% counted
Texas,34,44,55,,Nov 05,,,,,,,34,97% counted
Utah,5,35,62,,Nov 05,,,,,,,5,98% counted
Vermont,3,67,32,,Nov 05,3,,,,,,,84% counted
Virginia,13,52,48,,Nov 05,,,13,,,,,99% counted
Washington,11,55,43,,Nov 05,11,,,,,,,45% counted
West Virginia,5,43,56,,Nov 05,,,,,,,5,98% counted
Wisconsin,10,56,43,,Nov 05,10,,,,,,,93% counted
Wyoming,3,33,65,,Nov 05,,,,,,,3,100% counted
,,,,,Sums,262,16,86,11,3,36,124
