State,EV,D,R,I,Date,D>9,D5-9,D<5,Tie,R<5,R5-9,R>9,Pollster-len
Alabama,9,36,61,,Oct 28,,,,,,,9,SurveyUSA
Alaska,3,40,58,,Oct 30,,,,,,,3,Research +Rasmussen
Arizona,10,45,49,,Oct 30,,,,,10,,,Seven polls
Arkansas,6,44,53,,Oct 31,,,,,,6,,ARG+Rasmussen
California,55,61,35,,Oct 31,55,,,,,,,SurveyUSA+Rasmussen
Colorado,9,51,44,,Oct 30,,9,,,,,,Eight polls
Connecticut,7,56,35,,Oct 22,7,,,,,,,U. of Con+Rasmussen
D.C.,3,82,13,,Sep 13,3,,,,,,,ARG
Delaware,3,63,33,,Oct 28,3,,,,,,,SurveyUSA
Florida,27,49,45,,Nov 02,,,27,,,,,Nine polls
Georgia,15,46,50,,Oct 30,,,,,15,,,Four polls
Hawaii,4,68,27,,Sep 20,4,,,,,,,Rasmussen
Idaho,4,33,62,,Sep 17,,,,,,,4,Research 2000
Illinois,21,60,38,,Nov 01,21,,,,,,,Rasmussen
Indiana,11,46,48,,Nov 02,,,,,11,,,Five polls
Iowa,7,53,40,,Oct 31,7,,,,,,,Five polls
Kansas,6,39,56,,Oct 28,,,,,,,6,SurveyUSA+SurveyUSA
Kentucky,8,41,55,,Nov 01,,,,,,,8,Four polls
Louisiana,9,40,50,,Oct 26,,,,,,,9,Loyola U.+Southeast+Rasmussen
Maine,4,56,43,,Nov 01,4,,,,,,,Rasmussen
Maryland,10,57,38,,Sep 20,10,,,,,,,Rasmussen+ARG
Massachusetts,12,55,37,,Oct 28,12,,,,,,,SurveyUSA+Suffolk U
Michigan,17,52,39,,Oct 31,17,,,,,,,Selzer+Rasmussen+EPIC
Minnesota,10,52,41,,Nov 01,10,,,,,,,Six polls
Mississippi,6,43,53,,Oct 29,,,,,,,6,Research +Rasmussen
Missouri,11,47,48,,Nov 02,,,,,11,,,Seven polls
Montana,3,45,49,,Oct 29,,,,,3,,,Four polls
Nebraska,5,37,56,,Sep 30,,,,,,,5,Rasmussen
Nevada,5,50,44,,Nov 02,,5,,,,,,Six polls
New Hampshire,4,53,40,,Oct 30,4,,,,,,,Nine polls
New Jersey,15,54,37,,Oct 30,15,,,,,,,Four polls
New Mexico,5,52,44,,Oct 31,,5,,,,,,SurveyUSA+Research +Rasmussen
New York,31,64,31,,Oct 28,31,,,,,,,SurveyUSA+Marist Co
North Carolina,15,48,46,,Nov 02,,,15,,,,,Nine polls
North Dakota,3,46,47,,Oct 29,,,,,3,,,Research 2000
Ohio,20,49,44,,Nov 02,,20,,,,,,Nine polls
Oklahoma,7,34,63,,Oct 29,,,,,,,7,SurveyUSA
Oregon,7,56,39,,Oct 30,7,,,,,,,Four polls
Pennsylvania,21,52,44,,Nov 01,,21,,,,,,More than 10 polls
Rhode Island,4,48,26,,Oct 01,4,,,,,,,Opinion Factor
South Carolina,8,43,53,,Oct 29,,,,,,,8,SurveyUSA+Princeton
South Dakota,3,44,53,,Oct 30,,,,,,3,,Rasmussen
Tennessee,11,40,54,,Oct 22,,,,,,,11,Research +Rasmussen
Texas,34,41,52,,Oct 21,,,,,,,34,Rasmussen+U. of Tex+Research 
Utah,5,32,56,,Oct 30,,,,,,,5,Dan Jones+Mason
Vermont,3,57,36,,Oct 26,3,,,,,,,Research 2000
Virginia,13,50,45,,Nov 02,,13,,,,,,Eight polls
Washington,11,54,39,,Oct 31,11,,,,,,,U. of Was+SurveyUSA
West Virginia,5,43,51,,Oct 26,,,,,,5,,Five polls
Wisconsin,10,53,41,,Oct 29,10,,,,,,,Five polls
Wyoming,3,36,61,,Oct 29,,,,,,,3,Research 2000
,,,,,Sums,238,73,42,0,53,14,118
